Revista,Título,Publicado em,N.,V.,P. inicial,P. final,Autor (es),URL,STATUS
Liinc em Revista,Altmetria: métricas de produção científica para além das citações,2013,1,9,,,Fábio Castro Gouveia,http://dx.doi.org/10.18617/liinc.v9i1.569,Revisado
Educação e Pesquisa,Desafios aos editores da área de humanidades no periodismo científico e nas redes sociais: reflexões e experiências,2014,,,,,"Benchimol, Jaime L.; Cerqueira, Roberta C.; Papi, Camilo",http://www.scielo.br/scielo.php?pid=S1517-97022014000200004&script=sci_abstract&tlng=pt,Revisado
,Dos dados altmétricos às citações: uma análise da revista Datagramazero,2014,,,1001,,Ronaldo Ferreira de Araujo,http://www.brapci.inf.br/index.php/article/view/0000015914/6a676ed667298d89b54c75e2255ede57/,Revisado
Perspectivas Em Ciencia Da Informacao,Marketing científico digital e métricas alternativas para periódicos: da visibilidade ao engajamento,2015,3,20,67,84,Ronaldo Ferreira de Araujo,http://dx.doi.org/10.1590/1981-5344/2402,Revisado
Perspectivas em Ciência da Informação,Altmetrics: métricas alternativas de impacto científico com base em redes sociais,2015,,,,,Moreno Barros,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362015000200019,
,Estudos métricos da informação na web e o papel dos profissionais da informação,2015,Esp.,2,42,64,Ronaldo Ferreira de Araujo,http://www.brapci.inf.br/index.php/article/view/0000021558/9bacf4ed11b309b767589cb0e57fdb4c,Revisado
Em Questão,Mídias sociais e comunicação científica: análise altmétrica em artigos de periódicos da ciência da informação,2015,1,21,96,109,Ronaldo Ferreira de Araujo,http://dx.doi.org/10.19132/1808-5245211.96-109,Revisado
Informação & Informação,Comunicação científica e atenção online: em busca de colégios virtuais que sustentam métricas alternativas,2016,2,21,68,89,Ronaldo Ferreira de Araujo; Ariadne Chloe Furnival,http://dx.doi.org/10.5433/1981-8920.2016v21n2p68,
Transinformacao,Altmetria: a métrica social a serviço de uma ciência mais democrática,2016,3,28,1001,358,Nadia Vanti; Elías Sanz-Casado,http://dx.doi.org/10.1590/2318-08892016000300009,
Em Questão,Orientação temática e coeficiente de correlação para análise comparativa entre dados altmétricos e citações: uma análise da revista DataGramaZero,2016,3,22,184,200,Ronaldo Ferreira de Araujo; Gustavo Miranda Caran; Iara Vidal Pereira de Souza,http://dx.doi.org/10.19132/1808-5245223.184-200,
"Revista Eletrônica de Comunicação, Informação e Inovação em Saúde",Altmetria de artigos de periódicos brasileiros de acesso aberto na ScienceOpen: uma análise das razões de menções,2017,,11,,,Ronaldo Ferreira de Araujo; Marlene Oliveira; Elaine Rosangela de Oliveira Lucas,http://dx.doi.org/10.29397/reciis.v11i0.1376,
Biblios,"Altmetria: complexidades, desafios e novas formas de mensuração e compreensão da comunicação científica na web social",2017,,,48,68,João de Melo Maricato; Dalton Lopes Martins,http://dx.doi.org/10.5195/biblios.2017.358,
Informacao & Sociedade-estudos,Impactos da Altmetria: aspectos observados com análises de perfis no Facebook e Twitter,2017,1,27,1001,,João de Melo Maricato; Ethamillya Lyanna Moura Lima,http://www.brapci.inf.br/index.php/article/view/0000023079/e8e0bc0091cfe654137774adf38e6e63,
Em Questão,Análise do termo “Repositório Institucional” no Twitter: um estudo altmétrico,2017,5,23,290,308,Vildeane da Rocha Borba; Andréa Carla Melo Marinho; Sônia Elisa Caregnato,http://dx.doi.org/10.19132/1808-5245230.290-308,
Biblionline,Altmetria: Uma nova lente para os estudos métricos da informação,2017,3,13,3,12,Paula Wivianne Quirino dos Santos; João Pedro Silva de Albuquerque,http://dx.doi.org/10.22478/ufpb.1809-4775.2017v13n3.35874,
Informação & Informação,Vantagens de citação do acesso aberto em periódicos selecionados da Ciência da Informação: uma análise ampliada aos indicadores altmétricos,2017,1,22,129,149,"CINTRA, Paulo Roberto; FURNIVAL, Ariadne Chloe; MILANEZ, Douglas Henrique",http://www.brapci.inf.br/index.php/res/v/34362,
"Revista Eletrônica de Comunicação, Informação e Inovação em Saúde",Repositórios institucionais de acesso aberto: adequação às novas métricas da web,2017,,11,,,"CARVALHO, Ana Maria Ferreira; GOUVEIA, Fabio Castro",http://www.brapci.inf.br/index.php/res/v/131300,
Cadernos BAD,Altmetria e a análise das condições de interação em torno de artigos sobre políticas públicas: uma incursão metodológica,2018,,1,77,85,Thaiane Oliveira; Ronaldo Araújo; Janderson Pereira Toth; Mike Taylor,https://www.bad.pt/publicacoes/index.php/cadernos/article/view/1941,
Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,Atenção online de artigos do portal periódicos UFMG: análise dos dados do Facebook,2018,2,13,,,Ronaldo Ferreira de Araújo; Tiago Rodrigo Marçal Murakami; Sergio Dias Cirino; Carla Cristina Vieira de Oliveira,http://dx.doi.org/10.22478/ufpb.1981-0695.2018v13n2.42884,
Em Questão,A altmetria na prática e o papel dos bibliotecários no seu uso e aplicação,2018,1,24,296,302,Ronaldo Ferreira de Araujo,http://dx.doi.org/10.19132/1808-5245241.296-302,
Informação & Informação,Altmetria: questionamentos ao paradigma vigente para avaliação da produção científica,2018,3,23,160,176,Paulo Roberto Cintra; Janaina Oliveira Pamplona da Costa,http://www.uel.br/revistas/uel/index.php/informacao/article/view/30093,
REGEPE - Revista de Empreendedorismo e Gestão de Pequenas Empresas,Regepe Integra a Altmetrics: Mais um Avanço,2018,1,7,1,5,Vânia Maria Jorge Nassif,http://dx.doi.org/10.14211/regepe.v7i1.937,
Prisma.com,Altmetria no Brasil: estudo de citação e cocitação na base de dados BRAPCI,2018,36,,116,131,Fernanda Bochi dos Santos; Gonzalo Rubén Alvarez; Rene Faustino Gabriel Junior; Ana Maria Mielniczuk de Moura,http://dx.doi.org/10.21747/16463153/36a7,
Revista Brasileira de Biblioteconomia e Documentação,Ferramentas de métricas alternativas para livros,2018,2,2,130,142,Danielly dos Santos Ribeiro,https://rbbd.febab.org.br/rbbd/article/view/720/1039,
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,"O potencial da altmetria para medir outros tipos de impacto da produção científica: dinâmicas de
impacto social e acadêmico nas redes e mídias sociais",2018,,,,,"Maricato, Joao de Melo; Vilan Filho, Jayme Leiro",https://repositorio.unb.br/handle/10482/32082,
Revista Digital de Biblioteconomia & Ciência da Informação,A repercussão de artigos de periódicos brasileiros da ciência da informação no Facebook: um estudo altmétrico,2018,2,16,365,379,Ronaldo Ferreira de Araújo; Tiago Rodrigo Marçal Murakami; Jorge Moisés Kroll Prado,http://www.brapci.inf.br/index.php/res/v/40044,
Encontros Bibli: revista eletrônica de biblioteconomia e ciência da informação,Mega-Periódicos e altmetria: aproximações entre novas formas de publicação e de avaliação de impacto de resultados de pesquisa,2019,54,24,52,61,Milton Shintaku; Janinne Barcelos; Ronaldo Ferreira de Araújo; Ronnie Fagundes de Brito,http://dx.doi.org/10.5007/1518-2924.2019v24n54p52,
Transinformacao,Estudos altmétricos no Brasil: uma análise a partir dos currículos da Plataforma Lattes-CNPq,2019,,31,,,Fabio Castro Gouveia,http://dx.doi.org/10.1590/2318-0889201931e190027,
Esboços: histórias em contextos globais,Mídias sociais e altmetria: o impacto da produção científica em novas métricas,2019,42,26,224,228,Flávia Florentino Varella,http://dx.doi.org/10.5007/2175-7976.2019v26n42p224,
Revista Ibero-Americana de Ciência da Informação,Indicadores altmétricos da produção de pesquisadores brasileiros: análise dos bolsistas de produtividade do CNPq,2019,3,12,850,862,"ARAÚJO, Ronaldo Ferreira de; ALVES, Marcelo",http://www.brapci.inf.br/index.php/res/v/121938,
Encontros Bibli: Revista Eletrônica de Biblioteconomia e Ciência da Informação,Análise Altmétrica da Produção Científica das Revistas brasileiras em Ciência da Informação Qualis A1 (2011-2017) no Mendeley,2019,55,24,1,20,"BORBA, Vildeane da Rocha; ALVAREZ, Gonzalo Rubén; CAREGNATO, Sônia Elisa",http://www.brapci.inf.br/index.php/res/v/113859,
Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,A produção científica sobre inteligência artificial e seus impactos: análise de indicadores bibliométricos e altimétricos,2019,3,14,,,"GONTIJO, Marília Catarina Andrade; ARAÚJO, Ronaldo Ferreira de; OLIVEIRA, Marlene",http://www.brapci.inf.br/index.php/res/v/120492,
Revista Ibero-Americana de Ciência da Informação,Indicadores altmétricos em periódicos brasileiros da Ciência da Informação,2019,2,12,515,532,"MANHIQUE, Ilídio Lobato Ernesto; RODRIGUES, Fernando de Assis; SANTANA, Ricardo César Gonçalves; CASARIN, Helen Castro Silva",http://www.brapci.inf.br/index.php/res/v/111989,
Transinformação,Por métricas alternativas mais relevantes para a América Latina,2019,,,,,Germana B.,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100313,
Transinformação,Impacto de altmetrics sobre a visibilidade de artigos em acesso aberto da enfermagem brasileira: um estudo de caso,2019,,,,,"SILVA FILHO, Rubens da Costa; VANZ, Samile Andréa de Souza",http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100306,